38.47	-16.02	-22.55	25.50
-18.56	6.30	8.93	26.00
9.61	-19.47	-7.88	18.00
0.40	0.28	13.82	16.50
2.27	0.16	-1.24	21.00
-8.67	-11.84	5.18	13.50
4.86	-9.12	-3.16	15.00
-2.16	-1.35	0.85	20.00
-0.27	-2.64	1.70	19.50
-24.61	-7.31	-0.56	16.00
20.00	1.56	-0.26	21.00
-25.82	-9.30	0.24	12.50
33.76	-1.31	-0.38	15.00
-23.73	-4.69	-0.09	15.00
32.26	-2.42	-1.60	14.00
-20.74	0.03	1.46	17.00
28.85	-0.81	-1.27	14.50
-25.12	0.85	-3.33	14.00
29.77	-0.52	-1.13	14.00
14.67	3.58	-0.52	20.00
65.44	-4.00	-6.34	14.00
9.5929	0.2130	-0.0141	12.50
58.3780	-3.3984	-1.8279	11.00
9.9893	-1.7815	-1.1887	13.50
58.3600	-1.4449	-7.4915	10.00
10.9783	-0.1574	0.8980	12.50
55.1934	-1.1301	8.5107	8.00
9.7284	-0.1482	0.7799	12.50
43.1301	-0.0968	4.4145	8.00
